DateKey,Date,Day,DayName,DayOfWeekNum,IsWeekend,Month,MonthName,MonthYear,Quarter,Year
20260415,2026-04-15,15,Wednesday,3,False,4,April,Apr 2026,Q2,2026
20260416,2026-04-16,16,Thursday,4,False,4,April,Apr 2026,Q2,2026
20260417,2026-04-17,17,Friday,5,True,4,April,Apr 2026,Q2,2026
20260418,2026-04-18,18,Saturday,6,True,4,April,Apr 2026,Q2,2026
20260419,2026-04-19,19,Sunday,7,False,4,April,Apr 2026,Q2,2026
20260420,2026-04-20,20,Monday,1,False,4,April,Apr 2026,Q2,2026
20260421,2026-04-21,21,Tuesday,2,False,4,April,Apr 2026,Q2,2026
20260422,2026-04-22,22,Wednesday,3,False,4,April,Apr 2026,Q2,2026
20260423,2026-04-23,23,Thursday,4,False,4,April,Apr 2026,Q2,2026
20260424,2026-04-24,24,Friday,5,True,4,April,Apr 2026,Q2,2026
20260425,2026-04-25,25,Saturday,6,True,4,April,Apr 2026,Q2,2026
20260426,2026-04-26,26,Sunday,7,False,4,April,Apr 2026,Q2,2026
20260427,2026-04-27,27,Monday,1,False,4,April,Apr 2026,Q2,2026
20260428,2026-04-28,28,Tuesday,2,False,4,April,Apr 2026,Q2,2026
20260429,2026-04-29,29,Wednesday,3,False,4,April,Apr 2026,Q2,2026
20260430,2026-04-30,30,Thursday,4,False,4,April,Apr 2026,Q2,2026
20260501,2026-05-01,1,Friday,5,True,5,May,May 2026,Q2,2026
20260502,2026-05-02,2,Saturday,6,True,5,May,May 2026,Q2,2026
20260503,2026-05-03,3,Sunday,7,False,5,May,May 2026,Q2,2026
20260504,2026-05-04,4,Monday,1,False,5,May,May 2026,Q2,2026
20260505,2026-05-05,5,Tuesday,2,False,5,May,May 2026,Q2,2026
20260506,2026-05-06,6,Wednesday,3,False,5,May,May 2026,Q2,2026
20260507,2026-05-07,7,Thursday,4,False,5,May,May 2026,Q2,2026
20260508,2026-05-08,8,Friday,5,True,5,May,May 2026,Q2,2026
20260509,2026-05-09,9,Saturday,6,True,5,May,May 2026,Q2,2026
20260510,2026-05-10,10,Sunday,7,False,5,May,May 2026,Q2,2026
20260511,2026-05-11,11,Monday,1,False,5,May,May 2026,Q2,2026
20260512,2026-05-12,12,Tuesday,2,False,5,May,May 2026,Q2,2026
20260513,2026-05-13,13,Wednesday,3,False,5,May,May 2026,Q2,2026
20260514,2026-05-14,14,Thursday,4,False,5,May,May 2026,Q2,2026
20260515,2026-05-15,15,Friday,5,True,5,May,May 2026,Q2,2026
20260516,2026-05-16,16,Saturday,6,True,5,May,May 2026,Q2,2026
20260517,2026-05-17,17,Sunday,7,False,5,May,May 2026,Q2,2026
20260518,2026-05-18,18,Monday,1,False,5,May,May 2026,Q2,2026
20260519,2026-05-19,19,Tuesday,2,False,5,May,May 2026,Q2,2026
20260520,2026-05-20,20,Wednesday,3,False,5,May,May 2026,Q2,2026
20260521,2026-05-21,21,Thursday,4,False,5,May,May 2026,Q2,2026
20260522,2026-05-22,22,Friday,5,True,5,May,May 2026,Q2,2026
20260523,2026-05-23,23,Saturday,6,True,5,May,May 2026,Q2,2026
20260524,2026-05-24,24,Sunday,7,False,5,May,May 2026,Q2,2026
20260525,2026-05-25,25,Monday,1,False,5,May,May 2026,Q2,2026
20260526,2026-05-26,26,Tuesday,2,False,5,May,May 2026,Q2,2026
20260527,2026-05-27,27,Wednesday,3,False,5,May,May 2026,Q2,2026
20260528,2026-05-28,28,Thursday,4,False,5,May,May 2026,Q2,2026
20260529,2026-05-29,29,Friday,5,True,5,May,May 2026,Q2,2026
20260530,2026-05-30,30,Saturday,6,True,5,May,May 2026,Q2,2026
20260531,2026-05-31,31,Sunday,7,False,5,May,May 2026,Q2,2026
20260601,2026-06-01,1,Monday,1,False,6,June,Jun 2026,Q2,2026
20260602,2026-06-02,2,Tuesday,2,False,6,June,Jun 2026,Q2,2026
20260603,2026-06-03,3,Wednesday,3,False,6,June,Jun 2026,Q2,2026
20260604,2026-06-04,4,Thursday,4,False,6,June,Jun 2026,Q2,2026
20260605,2026-06-05,5,Friday,5,True,6,June,Jun 2026,Q2,2026
20260606,2026-06-06,6,Saturday,6,True,6,June,Jun 2026,Q2,2026
20260607,2026-06-07,7,Sunday,7,False,6,June,Jun 2026,Q2,2026
20260608,2026-06-08,8,Monday,1,False,6,June,Jun 2026,Q2,2026
20260609,2026-06-09,9,Tuesday,2,False,6,June,Jun 2026,Q2,2026
20260610,2026-06-10,10,Wednesday,3,False,6,June,Jun 2026,Q2,2026
20260611,2026-06-11,11,Thursday,4,False,6,June,Jun 2026,Q2,2026
20260612,2026-06-12,12,Friday,5,True,6,June,Jun 2026,Q2,2026
20260613,2026-06-13,13,Saturday,6,True,6,June,Jun 2026,Q2,2026
20260614,2026-06-14,14,Sunday,7,False,6,June,Jun 2026,Q2,2026
20260615,2026-06-15,15,Monday,1,False,6,June,Jun 2026,Q2,2026
20260616,2026-06-16,16,Tuesday,2,False,6,June,Jun 2026,Q2,2026
20260617,2026-06-17,17,Wednesday,3,False,6,June,Jun 2026,Q2,2026
20260618,2026-06-18,18,Thursday,4,False,6,June,Jun 2026,Q2,2026
20260619,2026-06-19,19,Friday,5,True,6,June,Jun 2026,Q2,2026
20260620,2026-06-20,20,Saturday,6,True,6,June,Jun 2026,Q2,2026
20260621,2026-06-21,21,Sunday,7,False,6,June,Jun 2026,Q2,2026
20260622,2026-06-22,22,Monday,1,False,6,June,Jun 2026,Q2,2026
20260623,2026-06-23,23,Tuesday,2,False,6,June,Jun 2026,Q2,2026
20260624,2026-06-24,24,Wednesday,3,False,6,June,Jun 2026,Q2,2026
20260625,2026-06-25,25,Thursday,4,False,6,June,Jun 2026,Q2,2026
20260626,2026-06-26,26,Friday,5,True,6,June,Jun 2026,Q2,2026
20260627,2026-06-27,27,Saturday,6,True,6,June,Jun 2026,Q2,2026
20260628,2026-06-28,28,Sunday,7,False,6,June,Jun 2026,Q2,2026
20260629,2026-06-29,29,Monday,1,False,6,June,Jun 2026,Q2,2026
20260630,2026-06-30,30,Tuesday,2,False,6,June,Jun 2026,Q2,2026
20260701,2026-07-01,1,Wednesday,3,False,7,July,Jul 2026,Q3,2026
20260702,2026-07-02,2,Thursday,4,False,7,July,Jul 2026,Q3,2026
20260703,2026-07-03,3,Friday,5,True,7,July,Jul 2026,Q3,2026
20260704,2026-07-04,4,Saturday,6,True,7,July,Jul 2026,Q3,2026
20260705,2026-07-05,5,Sunday,7,False,7,July,Jul 2026,Q3,2026
20260706,2026-07-06,6,Monday,1,False,7,July,Jul 2026,Q3,2026
20260707,2026-07-07,7,Tuesday,2,False,7,July,Jul 2026,Q3,2026
20260708,2026-07-08,8,Wednesday,3,False,7,July,Jul 2026,Q3,2026
20260709,2026-07-09,9,Thursday,4,False,7,July,Jul 2026,Q3,2026
20260710,2026-07-10,10,Friday,5,True,7,July,Jul 2026,Q3,2026
20260711,2026-07-11,11,Saturday,6,True,7,July,Jul 2026,Q3,2026
20260712,2026-07-12,12,Sunday,7,False,7,July,Jul 2026,Q3,2026
20260713,2026-07-13,13,Monday,1,False,7,July,Jul 2026,Q3,2026
20260714,2026-07-14,14,Tuesday,2,False,7,July,Jul 2026,Q3,2026
20260715,2026-07-15,15,Wednesday,3,False,7,July,Jul 2026,Q3,2026
20260716,2026-07-16,16,Thursday,4,False,7,July,Jul 2026,Q3,2026
20260717,2026-07-17,17,Friday,5,True,7,July,Jul 2026,Q3,2026
20260718,2026-07-18,18,Saturday,6,True,7,July,Jul 2026,Q3,2026
20260719,2026-07-19,19,Sunday,7,False,7,July,Jul 2026,Q3,2026
20260720,2026-07-20,20,Monday,1,False,7,July,Jul 2026,Q3,2026
20260721,2026-07-21,21,Tuesday,2,False,7,July,Jul 2026,Q3,2026
20260722,2026-07-22,22,Wednesday,3,False,7,July,Jul 2026,Q3,2026
20260723,2026-07-23,23,Thursday,4,False,7,July,Jul 2026,Q3,2026
20260724,2026-07-24,24,Friday,5,True,7,July,Jul 2026,Q3,2026
20260725,2026-07-25,25,Saturday,6,True,7,July,Jul 2026,Q3,2026
20260726,2026-07-26,26,Sunday,7,False,7,July,Jul 2026,Q3,2026
20260727,2026-07-27,27,Monday,1,False,7,July,Jul 2026,Q3,2026
20260728,2026-07-28,28,Tuesday,2,False,7,July,Jul 2026,Q3,2026
20260729,2026-07-29,29,Wednesday,3,False,7,July,Jul 2026,Q3,2026
20260730,2026-07-30,30,Thursday,4,False,7,July,Jul 2026,Q3,2026
20260731,2026-07-31,31,Friday,5,True,7,July,Jul 2026,Q3,2026
20260801,2026-08-01,1,Saturday,6,True,8,August,Aug 2026,Q3,2026
20260802,2026-08-02,2,Sunday,7,False,8,August,Aug 2026,Q3,2026
20260803,2026-08-03,3,Monday,1,False,8,August,Aug 2026,Q3,2026
20260804,2026-08-04,4,Tuesday,2,False,8,August,Aug 2026,Q3,2026
20260805,2026-08-05,5,Wednesday,3,False,8,August,Aug 2026,Q3,2026
20260806,2026-08-06,6,Thursday,4,False,8,August,Aug 2026,Q3,2026
20260807,2026-08-07,7,Friday,5,True,8,August,Aug 2026,Q3,2026
20260808,2026-08-08,8,Saturday,6,True,8,August,Aug 2026,Q3,2026
20260809,2026-08-09,9,Sunday,7,False,8,August,Aug 2026,Q3,2026
20260810,2026-08-10,10,Monday,1,False,8,August,Aug 2026,Q3,2026
20260811,2026-08-11,11,Tuesday,2,False,8,August,Aug 2026,Q3,2026
20260812,2026-08-12,12,Wednesday,3,False,8,August,Aug 2026,Q3,2026
20260813,2026-08-13,13,Thursday,4,False,8,August,Aug 2026,Q3,2026
20260814,2026-08-14,14,Friday,5,True,8,August,Aug 2026,Q3,2026
20260815,2026-08-15,15,Saturday,6,True,8,August,Aug 2026,Q3,2026
20260816,2026-08-16,16,Sunday,7,False,8,August,Aug 2026,Q3,2026
20260817,2026-08-17,17,Monday,1,False,8,August,Aug 2026,Q3,2026
20260818,2026-08-18,18,Tuesday,2,False,8,August,Aug 2026,Q3,2026
20260819,2026-08-19,19,Wednesday,3,False,8,August,Aug 2026,Q3,2026
20260820,2026-08-20,20,Thursday,4,False,8,August,Aug 2026,Q3,2026
20260821,2026-08-21,21,Friday,5,True,8,August,Aug 2026,Q3,2026
20260822,2026-08-22,22,Saturday,6,True,8,August,Aug 2026,Q3,2026
20260823,2026-08-23,23,Sunday,7,False,8,August,Aug 2026,Q3,2026
20260824,2026-08-24,24,Monday,1,False,8,August,Aug 2026,Q3,2026
20260825,2026-08-25,25,Tuesday,2,False,8,August,Aug 2026,Q3,2026
20260826,2026-08-26,26,Wednesday,3,False,8,August,Aug 2026,Q3,2026
20260827,2026-08-27,27,Thursday,4,False,8,August,Aug 2026,Q3,2026
20260828,2026-08-28,28,Friday,5,True,8,August,Aug 2026,Q3,2026
20260829,2026-08-29,29,Saturday,6,True,8,August,Aug 2026,Q3,2026
20260830,2026-08-30,30,Sunday,7,False,8,August,Aug 2026,Q3,2026
20260831,2026-08-31,31,Monday,1,False,8,August,Aug 2026,Q3,2026
20260901,2026-09-01,1,Tuesday,2,False,9,September,Sep 2026,Q3,2026
20260902,2026-09-02,2,Wednesday,3,False,9,September,Sep 2026,Q3,2026
20260903,2026-09-03,3,Thursday,4,False,9,September,Sep 2026,Q3,2026
20260904,2026-09-04,4,Friday,5,True,9,September,Sep 2026,Q3,2026
20260905,2026-09-05,5,Saturday,6,True,9,September,Sep 2026,Q3,2026
20260906,2026-09-06,6,Sunday,7,False,9,September,Sep 2026,Q3,2026
20260907,2026-09-07,7,Monday,1,False,9,September,Sep 2026,Q3,2026
20260908,2026-09-08,8,Tuesday,2,False,9,September,Sep 2026,Q3,2026
20260909,2026-09-09,9,Wednesday,3,False,9,September,Sep 2026,Q3,2026
20260910,2026-09-10,10,Thursday,4,False,9,September,Sep 2026,Q3,2026
20260911,2026-09-11,11,Friday,5,True,9,September,Sep 2026,Q3,2026
20260912,2026-09-12,12,Saturday,6,True,9,September,Sep 2026,Q3,2026
20260913,2026-09-13,13,Sunday,7,False,9,September,Sep 2026,Q3,2026
20260914,2026-09-14,14,Monday,1,False,9,September,Sep 2026,Q3,2026
